#,Date,Time,Stage,Area,Duration
1,2020-01-04,22:00,Stage 2,Area 8,119
2,2020-01-04,22:00,Stage 2,Area 16,130
3,2020-01-05,0:00,Stage 2,Area 10,127
4,2020-01-05,0:00,Stage 2,Area 2,136
5,2020-01-05,2:00,Stage 2,Area 3,129
6,2020-01-05,2:00,Stage 2,Area 11,133
7,2020-01-05,4:00,Stage 2,Area 4,133
8,2020-01-05,4:00,Stage 2,Area 12,138
9,2020-01-05,6:00,Stage 2,Area 13,131
10,2020-01-05,6:00,Stage 2,Area 5,137
11,2020-01-05,8:00,Stage 2,Area 14,133
12,2020-01-05,8:04,Stage 2,Area 6,123
13,2020-01-05,10:00,Stage 2,Area 7,133
14,2020-01-05,10:00,Stage 2,Area 15,135
15,2020-01-05,12:00,Stage 2,Area 8,137
16,2020-01-05,12:00,Stage 2,Area 16,133
17,2020-01-05,14:00,Stage 2,Area 9,136
18,2020-01-05,14:00,Stage 2,Area 1,129
19,2020-01-05,16:03,Stage 2,Area 10,119
20,2020-01-05,16:03,Stage 2,Area 2,123
21,2020-01-05,18:00,Stage 2,Area 11,134
22,2020-01-05,18:00,Stage 2,Area 3,120
23,2020-01-05,20:00,Stage 2,Area 12,137
24,2020-01-05,20:00,Stage 2,Area 4,131
25,2020-01-05,22:00,Stage 2,Area 13,23
26,2020-01-05,22:00,Stage 2,Area 5,32
27,2020-01-08,1:00,Stage 2,Area 14,68
28,2020-01-08,1:00,Stage 2,Area 6,73
29,2020-01-08,2:00,Stage 2,Area 7,131
30,2020-01-08,2:00,Stage 2,Area 15,133
31,2020-01-08,4:00,Stage 2,Area 8,123
32,2020-01-08,4:00,Stage 2,Area 16,129
33,2020-01-08,21:00,Stage 2,Area 8,68
34,2020-01-08,21:00,Stage 2,Area 16,72
35,2020-01-08,22:00,Stage 2,Bellville South,121
36,2020-01-08,22:00,Stage 2,Boston,121
37,2020-01-08,22:00,Stage 2,City (Bellville),121
38,2020-01-08,22:00,Stage 2,Parow South,121
39,2020-01-08,22:00,Stage 2,Sacks Circle,121
40,2020-01-08,22:00,Stage 2,Triangle,121
41,2020-01-08,22:00,Stage 2,Tygerberg Hospital,121
42,2020-01-08,22:00,Stage 2,Area 9,124
43,2020-01-09,0:01,Stage 2,Heldeberg,119
44,2020-01-09,0:01,Stage 2,Somerset West,139
45,2020-01-09,0:01,Stage 2,Strand,139
46,2020-01-09,0:01,Stage 2,Area 11,129
47,2020-01-09,2:00,Stage 2,Area 4,131
48,2020-01-09,2:00,Stage 2,Area 12,134
49,2020-01-09,4:00,Stage 2,Area 5,128
50,2020-01-09,4:02,Stage 2,Elsies River,124
51,2020-01-09,4:02,Stage 2,N1,124
52,2020-01-09,4:02,Stage 2,Plattekloof,124
53,2020-01-09,4:02,Stage 2,Richmond Estate,124
54,2020-01-09,4:02,Stage 2,Tiervlei,124
55,2020-01-09,6:05,Stage 2,AREA 14,136
56,2020-01-09,6:05,Stage 2,Doordekraal,130
57,2020-01-09,6:05,Stage 2,Durbanville,130
58,2020-01-09,6:05,Stage 2,Eversdal,130
59,2020-01-09,6:05,Stage 2,Uitkamp,130
60,2020-01-09,6:05,Stage 2,Westhof,130
61,2020-01-09,6:05,Stage 2,Oakdale,130
62,2020-01-09,8:00,Stage 2,Area 7,132
63,2020-01-09,8:00,Stage 2,Area 15,135
64,2020-01-09,10:00,Stage 2,Area 8,130
65,2020-01-09,10:00,Stage 2,Area 16,137
66,2020-01-09,12:00,Stage 2,Bellvile South,131
